,0,1
0,0,4444465
1,1,4444507
2,1,4444446
3,1,4444524
4,1,4444442
5,1,4444509
6,1,4444520
7,1,4444488
8,1,4444495
9,1,4444475
10,1,4444512
11,1,4444444
12,1,4444472
13,1,4444492
14,1,4444527
15,1,4444471
16,1,4444504
17,1,4444511
18,1,4444484
19,1,4444537
20,1,4444515
21,1,4444463
22,1,4444496
23,2,4444530
24,3,4444458
25,4,4444470
26,4,4444486
27,4,4444462
28,4,4444474
29,4,4444473
30,4,4444454
31,4,4444532
32,4,4444457
33,4,4444482
34,5,4444499
35,6,4444535
36,7,4444513
37,8,4444477
38,8,4444443
39,8,4444461
40,8,4444519
41,8,4444491
42,8,4444447
43,8,4444453
44,8,4444478
45,8,4444460
46,8,4444441
47,8,4444518
48,8,4444540
49,9,4444525
